StationID,StationName,StationType,Elevation(m),Longitude,Latitude,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
56004,沱沱河,基本站,4533.1,92.43333333,34.21666667,,,,,,,309,271.8,198.9,235.7,349.9,278.5,324.9,224.6,320.9,245.1,318.9,260.6,208.8,243.2,331.1,346,250.3,388.9,299.2,261,292.9,249.9,180.4,269.1,329.5,357.5,301.8,164.2,459.4,202.4,230.8,217.6,309.9,206,250.2,217.1,302.3,162.7,223.6,269.7,244.9,289.6,335.3,322.4,334.7,422.2,251.5,279.8,376.9,240.1,351.9,330.5,503,331.7,382.8,333.6,274.5,455.6,236.2,312.1
56018,杂多,基本站,4066.4,95.28333333,32.88333333,,,,,,,506.5,508.2,361.9,465,521.5,556.2,613.3,499.3,551.3,417.5,496.1,467.2,461.1,555.1,545.4,435.5,486.4,645.7,589,558,414.5,521.7,463.8,626.4,529.5,592.6,669.4,468.9,693.7,462.4,552.9,571.9,595.2,523.3,521.3,411.7,581.8,441.4,553.7,525.9,463.5,602,555.9,558.3,492.5,446.4,594.8,551.2,548,447.1,495.5,700.8,618.8,455.3,547.3,599.6,556,680.5,431.9,425.9
56021,曲麻莱,基本站,4175,95.8,34.11666667,,,,,,,377.3,418.2,279.1,371,401.8,,420.5,445.1,382.8,333.6,471.3,347,328.9,435.6,429.5,384.6,357.1,473.5,496.9,439.2,400.7,326.7,287.8,418.7,432,457.5,507.7,355.3,424.8,380.3,498.7,442.6,522.3,306.8,413.1,385,479.2,341.4,376.3,360,323.2,363.1,436.4,345.5,400.1,328.4,385.3,485.9,545.8,396.7,446.3,495.3,518,514.4,494.8,566.4,469.5,442.4,276.2,342.1
56029,玉树,基本站,3716.9,96.96666667,33,,,450.9,495.5,386.1,409.6,562.4,451.3,426.7,505.4,570.2,479.6,550.2,463.8,476.3,404,499.6,516.9,380.3,543,424.8,466,481.3,522.5,491.1,526,382,441.1,535.4,580.8,615.2,549.1,554.8,321.7,568.3,376.3,450.9,431.6,638.3,484.8,491.7,466.9,523.4,424.8,447.9,420,426.6,549.3,475.5,509.1,491.2,349.6,578,437.2,547.5,398.7,379.1,513.3,604,424.1,540.3,585,458.8,633.5,409,429.8
56033,玛多,基本站,4272.3,98.21666667,34.91666667,,,272.3,306.7,415.5,255.5,329.7,439.4,291.9,247.8,406.1,184,245.5,331.9,261.4,255.2,335.3,302.6,273.7,229.7,346.2,290.5,256.7,394.9,484.8,318.4,233.7,263.6,247.9,283.2,368.9,330.8,316.2,285.5,338.4,291.7,303.9,204.7,485.6,293.5,330.2,383.3,362.5,329.6,285.1,311.9,317.3,343.4,347.6,297.5,267,312.6,296,331.8,394.5,328,428.9,283.2,474.9,332.2,385.3,419.6,311.6,362,298.6,373.8
56034,清水河,基本站,4415.4,97.13333333,33.8,,,,,,,495.6,552.7,447.9,558.9,575.9,537.4,533.4,490.1,507.9,500.8,508.8,431.2,438.9,466.4,492.5,467.1,531.3,512.7,560.1,502.3,431.8,497.9,493.9,491.1,630.5,584,576.6,447.2,598,549.2,582.3,530.2,669.9,342.3,498.1,405.2,575.1,526.8,491.8,457.9,437.8,501,476.1,471.6,408.7,415.2,500.8,512.8,589.6,482,574.1,562.5,622.1,570.9,592.5,652,593.1,601.9,488.7,434
56043,玛沁,基本站,3719,100.2333333,34.48333333,,,,,,,,,478.8,465.5,539.1,440.3,539.9,533.4,438.4,500.1,639.8,600.2,473.7,457.3,611.8,500.2,490.8,506.4,563.6,506.9,407.2,532.6,482.3,476.1,635.3,516.9,627.2,419.3,482.7,446.3,485.8,478.8,687.4,401.5,440,577.3,465,566.5,535.9,462.7,542.9,460.3,551.1,381,423.9,468.4,520.3,544.3,632.5,380.3,584.5,581,627.5,482.8,544,601.7,485.4,487.1,463.1,629.2
56046,达日,基准站,3967.5,99.65,33.75,,,,,,523.5,494.3,575.6,432.1,532.2,590.7,475.7,658.9,521.1,578.7,557.8,674.7,629.5,460.2,416.6,565.8,524.4,504.8,477.5,604.6,463.1,470.5,464,559.4,648.3,698.7,517.6,584.5,566.2,654.5,464.7,502.4,494.1,653.3,463.3,542.6,526.9,506,489.1,613.6,570.4,546.3,529.8,613.3,518.7,512.1,413.1,610.4,591,630.7,466.2,658.9,623.1,602.3,571.2,561.2,643.9,584.9,634.4,536.8,467.3
56065,河南,基本站,13500,101.6,34.73333333,,,,,,,,,,615.3,641.4,521.2,589.8,654,474,609.3,887.9,651.4,484.9,481.4,756.6,604.2,607.6,585.3,685.7,587.6,590.2,668.8,694.5,526.3,689.6,597.8,700.7,634.2,606.6,576,496.2,471.1,566.8,483.3,452.1,623.7,457.9,549.5,651.3,500,511.1,532.3,574.7,423.9,492.7,384.1,602.5,632.2,627.2,507.2,733.3,612.9,630.5,564.9,724.7,621.7,508.7,490.6,427.3,656.3
56067,久治,基本站,3628.5,101.4833333,33.43333333,,,,,,,,,743.1,790.5,801,483.9,756.7,772.3,640.5,844,999.4,766.8,705.1,679.2,730.7,657.7,772.2,683.7,832.3,773.3,800,863.1,905.3,681.8,1030.8,770.5,731.9,778.5,739,745.9,733.4,756.5,925,654.6,668,727.7,658,721.6,746.5,592.9,631,774.5,803.8,562.6,599.8,581.6,796.1,750.8,907.2,785.8,725.5,643.4,792.6,640,831.6,725.5,751.8,844.6,707.6,703.8
56125,囊谦,基准站,3643.7,96.46666667,32.2,,,,,,,597.8,345.2,464.7,515.2,454,616.6,581.3,573.8,670.3,497.9,438.4,392,498.5,589.1,512.2,419.1,424,678.8,551.1,526.7,510.4,412,515.5,671.6,444.5,542,514,513.1,597.4,375.3,535.3,518.4,589.1,591.8,558.7,555.7,642.6,384,508.2,521.3,370.6,638.4,517.9,651.9,555.3,433.3,738.7,491.3,635,552.4,575.6,585.9,562.4,564.1,541.8,683.8,508.8,553.6,492.7,483.6
56151,班玛,基本站,13530,100.75,32.93333333,,,,,,,,,,658.7,634.1,,,,,666.3,696.8,573.2,651.5,607.8,669.3,551.2,653.2,599.8,661.8,698.3,554,716.7,810.5,691.8,705.5,699.3,798.1,664.6,706.6,593.4,615.5,690.2,833.9,569,596.6,688.8,733.5,622.1,648.6,502.7,686.2,747.6,749.2,699.9,530.6,442.6,655.3,661.7,724.8,593.9,634.7,649.5,697.9,632.1,762.5,706.4,620.6,820.2,602.3,634.3
